Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.328087;3803;0.463592;2;1
(10000,10000,20);3803;0.319638;3803;0.462557;2;2
(10000,10000,20);3803;0.320113;3803;0.423273;2;3
(10000,10000,20);3803;0.319859;3803;0.445436;2;4
(10000,10000,20);3803;0.318706;3803;0.453571;2;5
(10000,10000,20);3803;0.320705;3803;0.470500;2;6
(10000,10000,20);3803;0.321858;3803;0.441108;2;7
(10000,10000,20);3803;0.316282;3803;0.444728;2;8
(10000,10000,20);3803;0.324694;3803;0.453717;2;9
(10000,10000,20);3803;0.321101;3803;0.452826;2;10
(10000,10000,20);3803;0.317452;3803;0.445469;2;11
(10000,10000,20);3803;0.320217;3803;0.452261;2;12
(10000,10000,20);3803;0.321155;3803;0.456744;2;13
(10000,10000,20);3803;0.322849;3803;0.473748;2;14
(10000,10000,20);3803;0.320174;3803;0.454722;2;15
(10000,10000,20);3803;0.322002;3803;0.452146;2;16
(10000,10000,20);3803;0.320224;3803;0.489866;2;17
(10000,10000,20);3803;0.319024;3803;0.516539;2;18
(10000,10000,20);3803;0.323759;3803;0.474396;2;19
(10000,10000,20);3803;0.330524;3803;0.462518;2;20
(10000,10000,20);3803;0.328024;3803;0.438988;2;21
(10000,10000,20);3803;0.322969;3803;0.451663;2;22
(10000,10000,20);3803;0.319469;3803;0.441829;2;23
(10000,10000,20);3803;0.319235;3803;0.461946;2;24
(10000,10000,20);3803;0.319652;3803;0.451416;2;25
(20000,20000,20);7619;1.287871;7619;1.541527;2;1
(20000,20000,20);7619;1.292064;7619;1.537785;2;2
(20000,20000,20);7619;1.291797;7619;1.524992;2;3
(20000,20000,20);7619;1.287594;7619;1.560513;2;4
(20000,20000,20);7619;1.295390;7619;1.507697;2;5
(20000,20000,20);7619;1.289753;7619;1.501390;2;6
(20000,20000,20);7619;1.298297;7619;1.953669;2;7
(20000,20000,20);7619;1.288032;7619;1.520202;2;8
(20000,20000,20);7619;1.296684;7619;1.511260;2;9
(20000,20000,20);7619;1.293883;7619;1.535957;2;10
(20000,20000,20);7619;1.296442;7619;1.545082;2;11
(20000,20000,20);7619;1.292235;7619;1.527629;2;12
(20000,20000,20);7619;1.297478;7619;1.489590;2;13
(20000,20000,20);7619;1.297503;7619;1.640501;2;14
(20000,20000,20);7619;1.321609;7619;1.915913;2;15
(20000,20000,20);7619;1.299309;7619;1.595967;2;16
(20000,20000,20);7619;1.300292;7619;1.494301;2;17
(20000,20000,20);7619;1.312233;7619;1.539977;2;18
(20000,20000,20);7619;1.297004;7619;1.483895;2;19
(20000,20000,20);7619;1.298756;7619;1.536236;2;20
(20000,20000,20);7619;1.300687;7619;1.520416;2;21
(20000,20000,20);7619;1.290127;7619;1.494322;2;22
(20000,20000,20);7619;1.290444;7619;1.520945;2;23
(20000,20000,20);7619;1.289190;7619;1.548125;2;24
(20000,20000,20);7619;1.291545;7619;1.437138;2;25
(30000,30000,20);11426;2.916148;11426;3.270897;2;1
(30000,30000,20);11426;2.931592;11426;3.241445;2;2
(30000,30000,20);11426;2.936610;11426;3.264885;2;3
(30000,30000,20);11426;2.942576;11426;3.227336;2;4
(30000,30000,20);11426;2.964128;11426;3.360394;2;5
(30000,30000,20);11426;2.951286;11426;4.014999;2;6
(30000,30000,20);11426;2.957602;11426;3.370218;2;7
(30000,30000,20);11426;2.932803;11426;3.247090;2;8
(30000,30000,20);11426;2.934544;11426;3.380248;2;9
(30000,30000,20);11426;2.937688;11426;3.064527;2;10
(30000,30000,20);11426;2.932480;11426;3.037289;2;11
(30000,30000,20);11426;2.951160;11426;3.354144;2;12
(30000,30000,20);11426;2.940034;11426;3.407137;2;13
(30000,30000,20);11426;2.928213;11426;3.303936;2;14
