Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.364458;3803;0.758385;2;1
(10000,10000,20);3803;0.339362;3803;0.687860;2;2
(10000,10000,20);3803;0.488778;3803;1.497740;2;3
(10000,10000,20);3803;0.339632;3803;0.632533;2;4
(10000,10000,20);3803;0.327254;3803;0.610816;2;5
(10000,10000,20);3803;0.334165;3803;0.840490;2;6
(10000,10000,20);3803;0.332542;3803;0.620642;2;7
(10000,10000,20);3803;0.353936;3803;1.007925;2;8
(10000,10000,20);3803;0.398294;3803;0.746349;2;9
(10000,10000,20);3803;0.558379;3803;0.686919;2;10
(10000,10000,20);3803;0.339113;3803;0.629026;2;11
(10000,10000,20);3803;0.342524;3803;0.703767;2;12
(10000,10000,20);3803;0.353968;3803;0.623158;2;13
(10000,10000,20);3803;0.331529;3803;0.628666;2;14
(10000,10000,20);3803;0.347295;3803;0.598410;2;15
(10000,10000,20);3803;0.356349;3803;0.872404;2;16
(10000,10000,20);3803;0.410557;3803;0.910487;2;17
(10000,10000,20);3803;0.329300;3803;0.882554;2;18
(10000,10000,20);3803;0.436251;3803;2.127596;2;19
(10000,10000,20);3803;0.367280;3803;0.738308;2;20
(10000,10000,20);3803;0.457069;3803;1.032454;2;21
(10000,10000,20);3803;0.338205;3803;0.714864;2;22
(10000,10000,20);3803;0.388989;3803;0.635352;2;23
(10000,10000,20);3803;0.355377;3803;0.751521;2;24
(10000,10000,20);3803;0.340380;3803;0.733323;2;25
(20000,20000,20);7619;1.470251;7619;2.963761;2;1
(20000,20000,20);7619;1.927998;7619;2.388821;2;2
(20000,20000,20);7619;1.545472;7619;2.723983;2;3
(20000,20000,20);7619;1.443714;7619;2.331140;2;4
(20000,20000,20);7619;1.590390;7619;3.927178;2;5
(20000,20000,20);7619;1.695938;7619;2.067160;2;6
(20000,20000,20);7619;1.645678;7619;2.243457;2;7
(20000,20000,20);7619;1.441980;7619;2.545008;2;8
(20000,20000,20);7619;1.661508;7619;3.935161;2;9
(20000,20000,20);7619;1.406102;7619;2.158529;2;10
(20000,20000,20);7619;1.442814;7619;2.530623;2;11
(20000,20000,20);7619;1.354838;7619;2.518473;2;12
(20000,20000,20);7619;1.587559;7619;3.631377;2;13
(20000,20000,20);7619;1.540602;7619;2.795882;2;14
(20000,20000,20);7619;1.461444;7619;2.963647;2;15
(20000,20000,20);7619;1.412961;7619;1.963208;2;16
(20000,20000,20);7619;1.404739;7619;2.972982;2;17
(20000,20000,20);7619;1.492297;7619;2.450484;2;18
(20000,20000,20);7619;1.750617;7619;2.783290;2;19
(20000,20000,20);7619;1.550917;7619;2.260225;2;20
(20000,20000,20);7619;1.598470;7619;2.113406;2;21
(20000,20000,20);7619;1.367244;7619;1.733244;2;22
(20000,20000,20);7619;1.639518;7619;3.382380;2;23
(20000,20000,20);7619;1.445869;7619;2.200902;2;24
(20000,20000,20);7619;2.010219;7619;2.547844;2;25
(30000,30000,20);11426;3.517630;11426;6.314251;2;1
(30000,30000,20);11426;3.324564;11426;6.115956;2;2
(30000,30000,20);11426;3.351480;11426;6.408810;2;3
(30000,30000,20);11426;3.165959;11426;5.718728;2;4
(30000,30000,20);11426;3.460730;11426;6.499434;2;5
(30000,30000,20);11426;3.201819;11426;5.533876;2;6
(30000,30000,20);11426;3.741745;11426;7.401820;2;7
(30000,30000,20);11426;3.671408;11426;6.055849;2;8
(30000,30000,20);11426;3.960504;11426;7.156367;2;9
(30000,30000,20);11426;3.259504;11426;5.315462;2;10
(30000,30000,20);11426;3.442637;11426;6.413445;2;11
(30000,30000,20);11426;3.501916;11426;6.571959;2;12
(30000,30000,20);11426;3.359725;11426;6.294222;2;13
(30000,30000,20);11426;3.348872;11426;6.020224;2;14
(30000,30000,20);11426;3.780378;11426;5.939205;2;15
(30000,30000,20);11426;3.115045;11426;5.275912;2;16
(30000,30000,20);11426;3.568555;11426;4.887625;2;17
(30000,30000,20);11426;3.309392;11426;4.829143;2;18
(30000,30000,20);11426;3.718260;11426;5.071964;2;19
(30000,30000,20);11426;3.445120;11426;4.587788;2;20
(30000,30000,20);11426;4.499918;11426;5.642852;2;21
(30000,30000,20);11426;3.366277;11426;5.741164;2;22
(30000,30000,20);11426;3.683970;11426;5.945788;2;23
(30000,30000,20);11426;3.395571;11426;5.122574;2;24
(30000,30000,20);11426;3.396191;11426;6.071397;2;25
(60000,60000,20);29067;14.087350;-30203;15.590984;2;1
