Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.424301;3803;0.702182;1;1
(10000,10000,20);3803;0.421962;3803;0.701624;1;2
(10000,10000,20);3803;0.420065;3803;0.701302;1;3
(10000,10000,20);3803;0.421916;3803;0.701543;1;4
(10000,10000,20);3803;0.422066;3803;0.701945;1;5
(10000,10000,20);3803;0.421984;3803;0.701689;1;6
(10000,10000,20);3803;0.421813;3803;0.701894;1;7
(10000,10000,20);3803;0.421987;3803;0.701958;1;8
(10000,10000,20);3803;0.422241;3803;0.701498;1;9
(10000,10000,20);3803;0.432618;3803;0.703783;1;10
(10000,10000,20);3803;0.424977;3803;0.702480;1;11
(10000,10000,20);3803;0.426139;3803;0.702042;1;12
(10000,10000,20);3803;0.430916;3803;0.703082;1;13
(10000,10000,20);3803;0.419846;3803;0.701163;1;14
(10000,10000,20);3803;0.422314;3803;0.701874;1;15
(10000,10000,20);3803;0.431121;3803;0.703104;1;16
(10000,10000,20);3803;0.420018;3803;0.701416;1;17
(10000,10000,20);3803;0.426211;3803;0.702376;1;18
(10000,10000,20);3803;0.419884;3803;0.701097;1;19
(10000,10000,20);3803;0.422039;3803;0.701659;1;20
(10000,10000,20);3803;0.432852;3803;0.703711;1;21
(10000,10000,20);3803;0.432313;3803;0.703709;1;22
(10000,10000,20);3803;0.420958;3803;0.701641;1;23
(10000,10000,20);3803;0.420259;3803;0.701473;1;24
(10000,10000,20);3803;0.432199;3803;0.703645;1;25
(10000,10000,20);3803;0.422053;3803;0.704851;1;26
(10000,10000,20);3803;0.421937;3803;0.701739;1;27
(10000,10000,20);3803;0.420181;3803;0.701434;1;28
(10000,10000,20);3803;0.425140;3803;0.702366;1;29
(10000,10000,20);3803;0.431907;3803;0.702718;1;30
(20000,20000,20);7619;1.721552;7619;2.534953;1;1
(20000,20000,20);7619;1.721426;7619;2.539744;1;2
(20000,20000,20);7619;1.720514;7619;2.542676;1;3
(20000,20000,20);7619;1.797603;7619;2.554846;1;4
(20000,20000,20);7619;1.727320;7619;2.542527;1;5
(20000,20000,20);7619;1.719875;7619;2.534488;1;6
(20000,20000,20);7619;1.724869;7619;2.728256;1;7
