Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.657328;3803;0.704650;1
(10000,10000,20);3803;0.482502;3803;0.624214;2
(10000,10000,20);3803;0.574782;3803;0.626364;3
(10000,10000,20);3803;0.542215;3803;0.564261;4
(10000,10000,20);3803;0.519546;3803;0.608372;5
(10000,10000,20);3803;0.475467;3803;0.666581;6
(10000,10000,20);3803;0.631471;3803;0.618321;7
(10000,10000,20);3803;0.525175;3803;0.684261;8
(10000,10000,20);3803;0.521705;3803;0.604639;9
(10000,10000,20);3803;0.504588;3803;0.596505;10
(10000,10000,20);3803;0.542389;3803;0.555995;11
(10000,10000,20);3803;0.889870;3803;0.411595;12
(10000,10000,20);3803;0.596726;3803;0.753439;13
(10000,10000,20);3803;0.664793;3803;0.949211;14
(10000,10000,20);3803;0.631578;3803;0.613948;15
(10000,10000,20);3803;0.596932;3803;0.573730;16
(10000,10000,20);3803;0.557394;3803;0.549462;17
(10000,10000,20);3803;0.582962;3803;0.580356;18
(10000,10000,20);3803;0.506963;3803;0.552578;19
(10000,10000,20);3803;0.500329;3803;0.669530;20
(10000,10000,20);3803;0.536988;3803;0.576838;21
(10000,10000,20);3803;0.544598;3803;0.633143;22
(10000,10000,20);3803;0.515475;3803;0.574373;23
(10000,10000,20);3803;0.597681;3803;0.574770;24
(10000,10000,20);3803;0.565403;3803;0.661614;25
(10000,10000,20);3803;0.547754;3803;0.629585;26
(10000,10000,20);3803;0.574271;3803;0.579735;27
(10000,10000,20);3803;0.588479;3803;0.973442;28
(10000,10000,20);3803;0.694637;3803;1.103141;29
(10000,10000,20);3803;0.514068;3803;1.096177;30
(20000,20000,20);7619;2.141756;7619;2.062284;1
(20000,20000,20);7619;2.090827;7619;1.161527;2
(20000,20000,20);7619;1.836293;7619;1.230472;3
(20000,20000,20);7619;1.853727;7619;1.284310;4
(20000,20000,20);7619;2.028836;7619;1.347000;5
(20000,20000,20);7619;2.028592;7619;1.520863;6
(20000,20000,20);7619;1.820242;7619;1.675542;7
(20000,20000,20);7619;2.190272;7619;2.574927;8
(20000,20000,20);7619;2.139397;7619;1.758508;9
(20000,20000,20);7619;2.097079;7619;1.400265;10
(20000,20000,20);7619;1.941074;7619;1.617161;11
(20000,20000,20);7619;2.050410;7619;2.310011;12
(20000,20000,20);7619;1.839683;7619;1.418093;13
(20000,20000,20);7619;1.909754;7619;1.190464;14
(20000,20000,20);7619;2.407501;7619;1.988152;15
(20000,20000,20);7619;2.861663;7619;1.573983;16
(20000,20000,20);7619;1.991607;7619;1.740870;17
(20000,20000,20);7619;1.983823;7619;1.375419;18
(20000,20000,20);7619;1.865348;7619;1.201317;19
(20000,20000,20);7619;1.960501;7619;1.184202;20
(20000,20000,20);7619;2.021875;7619;1.540813;21
(20000,20000,20);7619;1.896389;7619;1.078537;22
(20000,20000,20);7619;1.970944;7619;1.157206;23
(20000,20000,20);7619;1.899520;7619;1.148958;24
(20000,20000,20);7619;2.153272;7619;1.421224;25
(20000,20000,20);7619;2.297272;7619;1.771096;26
(20000,20000,20);7619;2.291644;7619;1.405893;27
(20000,20000,20);7619;1.896539;7619;1.155290;28
(20000,20000,20);7619;1.894330;7619;1.133864;29
(20000,20000,20);7619;1.907963;7619;1.275683;30
(30000,30000,20);11426;4.437755;11426;2.357287;1
(30000,30000,20);11426;4.327196;11426;2.344945;2
(30000,30000,20);11426;4.195349;11426;2.372177;3
(30000,30000,20);11426;4.445241;11426;2.285782;4
(30000,30000,20);11426;4.150709;11426;2.460675;5
(30000,30000,20);11426;4.095584;11426;2.291384;6
(30000,30000,20);11426;4.244439;11426;2.489353;7
(30000,30000,20);11426;4.158662;11426;2.316118;8
