Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.557833;3803;0.642552;2;1
(10000,10000,20);3803;0.557253;3803;0.645662;2;2
(10000,10000,20);3803;0.557916;3803;0.645099;2;3
(10000,10000,20);3803;0.558035;3803;0.640445;2;4
(10000,10000,20);3803;0.557874;3803;0.645014;2;5
(10000,10000,20);3803;0.556891;3803;0.639149;2;6
(10000,10000,20);3803;0.557613;3803;0.642202;2;7
(10000,10000,20);3803;0.556906;3803;0.642893;2;8
(10000,10000,20);3803;0.557042;3803;0.642751;2;9
(10000,10000,20);3803;0.556755;3803;0.644343;2;10
(10000,10000,20);3803;0.556709;3803;0.639817;2;11
(10000,10000,20);3803;0.556785;3803;0.642426;2;12
(10000,10000,20);3803;0.556994;3803;0.644997;2;13
(10000,10000,20);3803;0.556565;3803;0.643300;2;14
(10000,10000,20);3803;0.504900;3803;0.579467;2;15
(10000,10000,20);3803;0.494580;3803;0.530363;2;16
(10000,10000,20);3803;0.577789;3803;0.620470;2;17
(10000,10000,20);3803;0.577054;3803;0.624023;2;18
(10000,10000,20);3803;0.524918;3803;0.558371;2;19
(10000,10000,20);3803;0.575665;3803;0.616813;2;20
(10000,10000,20);3803;0.576489;3803;0.614310;2;21
(10000,10000,20);3803;0.575974;3803;0.614851;2;22
(10000,10000,20);3803;0.576231;3803;0.616338;2;23
(10000,10000,20);3803;0.527041;3803;0.556203;2;24
(10000,10000,20);3803;0.522359;3803;0.558709;2;25
(20000,20000,20);7619;2.296671;7619;2.452871;2;1
(20000,20000,20);7619;2.238261;7619;2.224325;2;2
(20000,20000,20);7619;2.228754;7619;2.310850;2;3
(20000,20000,20);7619;2.231854;7619;2.207595;2;4
(20000,20000,20);7619;2.230724;7619;2.202310;2;5
(20000,20000,20);7619;2.234991;7619;2.310445;2;6
(20000,20000,20);7619;2.233598;7619;2.262319;2;7
(20000,20000,20);7619;2.312009;7619;2.100918;2;8
(20000,20000,20);7619;2.307796;7619;2.107666;2;9
(20000,20000,20);7619;2.303431;7619;2.116245;2;10
(20000,20000,20);7619;2.297076;7619;2.194039;2;11
(20000,20000,20);7619;2.092658;7619;2.186953;2;12
(20000,20000,20);7619;2.243706;7619;2.296896;2;13
(20000,20000,20);7619;2.078181;7619;2.203223;2;14
(20000,20000,20);7619;2.077504;7619;2.183470;2;15
(20000,20000,20);7619;2.237595;7619;2.498281;2;16
(20000,20000,20);7619;2.273190;7619;12.734369;2;17
(20000,20000,20);7619;6.117614;7619;20.584853;2;18
(20000,20000,20);7619;5.826497;7619;22.953112;2;19
(20000,20000,20);7619;6.485054;7619;21.807696;2;20
(20000,20000,20);7619;6.137419;7619;19.989006;2;21
(20000,20000,20);7619;6.157021;7619;20.209558;2;22
(20000,20000,20);7619;6.095791;7619;21.975693;2;23
(20000,20000,20);7619;5.902471;7619;19.519433;2;24
(20000,20000,20);7619;6.309585;7619;21.178751;2;25
(30000,30000,20);11426;14.184942;11426;41.496807;2;1
(30000,30000,20);11426;13.373126;11426;46.081154;2;2
(30000,30000,20);11426;12.601612;11426;39.186469;2;3
(30000,30000,20);11426;13.425837;11426;43.248918;2;4
(30000,30000,20);11426;14.056616;11426;42.139593;2;5
(30000,30000,20);11426;13.434747;11426;43.995848;2;6
(30000,30000,20);11426;13.814081;11426;42.761270;2;7
(30000,30000,20);11426;13.354801;11426;39.340780;2;8
(30000,30000,20);11426;13.774760;11426;43.187367;2;9
(30000,30000,20);11426;13.412035;11426;42.744895;2;10
(30000,30000,20);11426;13.374834;11426;43.144765;2;11
(30000,30000,20);11426;13.922649;11426;42.055567;2;12
(30000,30000,20);11426;13.707776;11426;43.052786;2;13
(30000,30000,20);11426;13.545377;11426;43.551643;2;14
(30000,30000,20);11426;13.943612;11426;45.267396;2;15
(30000,30000,20);11426;13.690358;11426;42.247201;2;16
(30000,30000,20);11426;13.183323;11426;45.112329;2;17
(30000,30000,20);11426;13.933350;11426;45.417688;2;18
(30000,30000,20);11426;13.754155;11426;42.873861;2;19
(30000,30000,20);11426;13.215832;11426;43.862238;2;20
(30000,30000,20);11426;13.411577;11426;44.133445;2;21
(30000,30000,20);11426;14.143481;11426;47.165295;2;22
(30000,30000,20);11426;14.192311;11426;49.827958;2;23
(30000,30000,20);11426;13.572674;11426;23.440565;2;24
(30000,30000,20);11426;3.712503;11426;3.790514;2;25
(60000,60000,20);29067;14.439458;-30203;14.929496;2;1
(60000,60000,20);29067;14.413089;-30203;14.942497;2;2
(60000,60000,20);29067;14.417965;-30203;14.915213;2;3
(60000,60000,20);29067;14.434460;-30203;14.929444;2;4
(60000,60000,20);29067;14.424814;-30203;14.931115;2;5
(60000,60000,20);29067;14.431490;-30203;15.098321;2;6
(60000,60000,20);29067;14.459638;-30203;131.860612;2;7
(60000,60000,20);29067;53.865732;-30203;163.996956;2;8
(60000,60000,20);29067;54.412149;-30203;164.715551;2;9
