Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
0.000470;(10000,10000,20);3803;0.323928;3803;0.419511;2;1
0.000475;(10000,10000,20);3803;0.327274;3803;0.420079;2;2
0.000479;(10000,10000,20);3803;0.331322;3803;0.404091;2;3
0.000506;(10000,10000,20);3803;0.323034;3803;0.422774;2;4
0.000484;(10000,10000,20);3803;0.329745;3803;0.417414;2;5
0.000486;(10000,10000,20);3803;0.324108;3803;0.428213;2;6
0.000462;(10000,10000,20);3803;0.327938;3803;0.437190;2;7
0.000448;(10000,10000,20);3803;0.323123;3803;0.426395;2;8
0.000499;(10000,10000,20);3803;0.326557;3803;0.402397;2;9
0.000459;(10000,10000,20);3803;0.328280;3803;0.419899;2;10
0.000461;(10000,10000,20);3803;0.328112;3803;0.428046;2;11
0.004505;(10000,10000,20);3803;0.321337;3803;0.407426;2;12
0.004493;(10000,10000,20);3803;0.322481;3803;0.420869;2;13
0.000526;(10000,10000,20);3803;0.321870;3803;0.428660;2;14
0.000455;(10000,10000,20);3803;0.321730;3803;0.427837;2;15
0.000472;(10000,10000,20);3803;0.322076;3803;0.437207;2;16
0.000462;(10000,10000,20);3803;0.322162;3803;0.422783;2;17
0.000495;(10000,10000,20);3803;0.325824;3803;0.404217;2;18
0.004511;(10000,10000,20);3803;0.325910;3803;0.411786;2;19
0.000521;(10000,10000,20);3803;0.323046;3803;0.402605;2;20
0.001234;(20000,20000,20);7619;1.305247;7619;1.367503;2;1
0.001214;(20000,20000,20);7619;1.302609;7619;1.372956;2;2
0.001281;(20000,20000,20);7619;1.300375;7619;1.436843;2;3
0.001181;(20000,20000,20);7619;1.301092;7619;1.410160;2;4
0.001256;(20000,20000,20);7619;1.335961;7619;1.482816;2;5
0.001135;(20000,20000,20);7619;1.302352;7619;1.456514;2;6
0.001290;(20000,20000,20);7619;1.316420;7619;1.452602;2;7
0.001265;(20000,20000,20);7619;1.313175;7619;1.436764;2;8
0.001131;(20000,20000,20);7619;1.305217;7619;1.334617;2;9
0.001168;(20000,20000,20);7619;1.304957;7619;1.405823;2;10
0.002154;(20000,20000,20);7619;1.303526;7619;1.361705;2;11
0.001142;(20000,20000,20);7619;1.305424;7619;1.520960;2;12
0.001141;(20000,20000,20);7619;1.309481;7619;1.401584;2;13
0.001182;(20000,20000,20);7619;1.305177;7619;1.494536;2;14
0.001174;(20000,20000,20);7619;1.307911;7619;1.398759;2;15
0.001180;(20000,20000,20);7619;1.303065;7619;1.413904;2;16
0.001196;(20000,20000,20);7619;1.310239;7619;1.412564;2;17
0.001106;(20000,20000,20);7619;1.308733;7619;1.394556;2;18
0.001296;(20000,20000,20);7619;1.307559;7619;1.372280;2;19
0.001262;(20000,20000,20);7619;1.299731;7619;1.356723;2;20
0.002589;(30000,30000,20);11426;2.955603;11426;3.075318;2;1
0.002596;(30000,30000,20);11426;2.943376;11426;3.076234;2;2
0.002608;(30000,30000,20);11426;2.972690;11426;2.781756;2;3
0.002602;(30000,30000,20);11426;2.945119;11426;2.884564;2;4
0.002654;(30000,30000,20);11426;2.934464;11426;3.065606;2;5
0.002642;(30000,30000,20);11426;2.937318;11426;2.953465;2;6
0.002832;(30000,30000,20);11426;2.937438;11426;3.138934;2;7
0.002638;(30000,30000,20);11426;2.938253;11426;2.882066;2;8
0.002662;(30000,30000,20);11426;2.933460;11426;3.038906;2;9
0.002653;(30000,30000,20);11426;2.937583;11426;2.849103;2;10
0.002656;(30000,30000,20);11426;2.933795;11426;2.980980;2;11
0.002670;(30000,30000,20);11426;2.935641;11426;2.971832;2;12
0.002609;(30000,30000,20);11426;2.951390;11426;2.983781;2;13
0.005450;(30000,30000,20);11426;3.016368;11426;3.017361;2;14
0.002917;(30000,30000,20);11426;2.943589;11426;2.915960;2;15
0.002607;(30000,30000,20);11426;2.935482;11426;2.903110;2;16
0.002580;(30000,30000,20);11426;2.942581;11426;2.816564;2;17
0.002602;(30000,30000,20);11426;2.935192;11426;3.033741;2;18
0.002589;(30000,30000,20);11426;2.930691;11426;2.916558;2;19
0.002613;(30000,30000,20);11426;2.938275;11426;3.078983;2;20
0.004457;(40000,40000,20);21434;5.243508;21434;4.777586;2;1
0.004345;(40000,40000,20);21434;5.246375;21434;4.912275;2;2
0.004336;(40000,40000,20);21434;5.248848;21434;4.883933;2;3
0.004947;(40000,40000,20);21434;5.267496;21434;5.076435;2;4
0.004314;(40000,40000,20);21434;5.272566;21434;4.735528;2;5
0.004334;(40000,40000,20);21434;5.246191;21434;5.175676;2;6
0.004347;(40000,40000,20);21434;5.246100;21434;4.781550;2;7
0.004300;(40000,40000,20);21434;5.246725;21434;5.344030;2;8
0.004466;(40000,40000,20);21434;5.267706;21434;5.243388;2;9
0.004470;(40000,40000,20);21434;5.251836;21434;5.511829;2;10
0.005438;(40000,40000,20);21434;5.274777;21434;4.984105;2;11
0.004452;(40000,40000,20);21434;5.266624;21434;4.830387;2;12
0.004307;(40000,40000,20);21434;5.229586;21434;5.900171;2;13
0.004418;(40000,40000,20);21434;5.258584;21434;5.247941;2;14
0.004354;(40000,40000,20);21434;5.254514;21434;5.072987;2;15
0.004302;(40000,40000,20);21434;5.279847;21434;4.948789;2;16
0.004837;(40000,40000,20);21434;5.340012;21434;5.591550;2;17
0.008401;(40000,40000,20);21434;5.262375;21434;4.864048;2;18
0.004344;(40000,40000,20);21434;5.266368;21434;5.126308;2;19
0.004360;(40000,40000,20);21434;5.261912;21434;5.327547;2;20
