1;Size (SIZE);Parallel Time;Execution
1;2500;1.607146;1
1;2500;1.607699;2
1;2500;1.606895;3
1;2500;1.606896;4
1;2500;1.607625;5
1;2500;1.605089;6
1;2500;1.605888;7
1;2500;1.608327;8
1;2500;1.607281;9
1;2500;1.610840;10
1;2500;1.609873;11
1;2500;1.610607;12
1;2500;1.607852;13
1;2500;1.607668;14
1;2500;1.607790;15
1;2500;1.618201;16
1;2500;1.608242;17
1;2500;1.608148;18
1;2500;1.606332;19
1;2500;1.611597;20
2;2500;1.268859;1
2;2500;1.271736;2
2;2500;1.273656;3
2;2500;1.271558;4
2;2500;1.270330;5
2;2500;1.269172;6
2;2500;1.269437;7
2;2500;1.272716;8
2;2500;1.269032;9
2;2500;1.268182;10
2;2500;1.270301;11
2;2500;1.270498;12
2;2500;1.271912;13
2;2500;1.272571;14
2;2500;1.268058;15
2;2500;1.272300;16
2;2500;1.269326;17
2;2500;1.270359;18
2;2500;1.266408;19
2;2500;1.270510;20
4;2500;0.918510;1
4;2500;0.935007;2
4;2500;0.901855;3
4;2500;0.900123;4
4;2500;0.911923;5
4;2500;0.921946;6
4;2500;0.911497;7
4;2500;0.904457;8
4;2500;0.906571;9
4;2500;0.920361;10
4;2500;0.927430;11
4;2500;0.902482;12
4;2500;0.908480;13
4;2500;0.912475;14
4;2500;0.907143;15
4;2500;0.927771;16
4;2500;0.925138;17
4;2500;0.940486;18
4;2500;0.904604;19
4;2500;0.915712;20
6;2500;0.742547;1
6;2500;0.743335;2
6;2500;0.751033;3
6;2500;0.751279;4
6;2500;0.753506;5
6;2500;0.769078;6
6;2500;0.732172;7
6;2500;0.727221;8
6;2500;0.725107;9
6;2500;0.791136;10
6;2500;0.735666;11
6;2500;0.774240;12
6;2500;0.730057;13
6;2500;0.745099;14
6;2500;0.791987;15
6;2500;0.731498;16
6;2500;0.738136;17
6;2500;0.727739;18
6;2500;0.779417;19
6;2500;0.738976;20
