Size (SIZE);Parallel Time;Execution
Size (SIZE);Parallel Time;Execution
5000;6.416592;1
5000;6.400610;2
5000;6.400157;3
5000;6.398796;4
5000;6.399332;5
5000;6.399696;6
5000;6.401505;7
5000;6.399069;8
5000;6.394551;9
5000;6.401893;10
5000;6.403441;11
5000;6.399145;12
5000;6.400174;13
5000;6.399462;14
5000;6.401596;15
5000;6.400026;16
5000;6.402570;17
5000;6.402798;18
5000;6.402267;19
5000;6.397022;20
5000;5.106074;1
5000;5.103338;2
5000;5.107897;3
5000;5.101376;4
5000;5.111122;5
5000;5.107818;6
5000;5.113494;7
5000;5.099679;8
5000;5.100258;9
5000;5.101421;10
5000;5.100233;11
5000;5.101326;12
5000;5.106423;13
5000;5.103339;14
5000;5.103235;15
5000;5.104650;16
5000;5.106410;17
5000;5.102373;18
5000;5.115163;19
5000;5.103888;20
5000;5.052789;1
5000;5.043602;2
5000;5.044405;3
5000;5.044439;4
5000;5.045022;5
5000;5.039810;6
5000;5.036149;7
5000;5.040181;8
5000;5.042109;9
5000;5.044653;10
5000;5.045907;11
5000;5.046842;12
5000;5.046997;13
5000;5.040893;14
5000;5.044934;15
5000;5.042244;16
5000;5.043516;17
5000;5.038397;18
5000;5.044326;19
5000;5.040626;20
5000;5.107862;1
5000;5.095075;2
5000;5.092044;3
5000;5.098426;4
5000;5.091167;5
5000;5.095481;6
5000;5.095213;7
5000;5.095267;8
5000;5.095021;9
5000;5.092329;10
5000;5.097865;11
5000;5.094507;12
5000;5.091414;13
5000;5.093981;14
5000;5.091123;15
5000;5.092372;16
5000;5.095760;17
5000;5.091891;18
5000;5.091557;19
5000;5.100359;20

