Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000001;5;0.000143;1
(10,7,6);5;0.000003;5;0.000256;2
(10,7,6);5;0.000002;5;0.000254;3
(10,7,6);5;0.000001;5;0.000141;4
(10,7,6);5;0.000002;5;0.000201;5
(10,7,6);5;0.000001;5;0.000140;6
(10,7,6);5;0.000002;5;0.000188;7
(10,7,6);5;0.000001;5;0.000125;8
(10,7,6);5;0.000002;5;0.000180;9
(10,7,6);5;0.000002;5;0.000330;10
(10,7,6);5;0.000001;5;0.000121;11
(10,7,6);5;0.000002;5;0.000200;12
(10,7,6);5;0.000001;5;0.000128;13
(10,7,6);5;0.000001;5;0.000125;14
(10,7,6);5;0.000001;5;0.000159;15
(10,7,6);5;0.000001;5;0.000117;16
(10,7,6);5;0.000001;5;0.000149;17
(10,7,6);5;0.000001;5;0.000118;18
(10,7,6);5;0.000002;5;0.000541;19
(10,7,6);5;0.000001;5;0.000120;20
(846,756,20);302;0.001534;302;0.002112;1
(846,756,20);302;0.001540;302;0.002097;2
(846,756,20);302;0.001743;302;0.002341;3
(846,756,20);302;0.002320;302;0.002503;4
(846,756,20);302;0.002315;302;0.002463;5
(846,756,20);302;0.001601;302;0.002053;6
(846,756,20);302;0.002304;302;0.002276;7
(846,756,20);302;0.001602;302;0.002276;8
(846,756,20);302;0.001730;302;0.002307;9
(846,756,20);302;0.002309;302;0.002243;10
(846,756,20);302;0.002312;302;0.002283;11
(846,756,20);302;0.001521;302;0.002613;12
(846,756,20);302;0.002352;302;0.002263;13
(846,756,20);302;0.001523;302;0.002239;14
(846,756,20);302;0.001521;302;0.002482;15
(846,756,20);302;0.001782;302;0.002952;16
(846,756,20);302;0.001513;302;0.001996;17
(846,756,20);302;0.001517;302;0.002061;18
(846,756,20);302;0.001513;302;0.002088;19
(846,756,20);302;0.002356;302;0.002268;20
(29610,26460,20);10706;2.703572;10706;0.739587;1
(29610,26460,20);10706;2.821418;10706;0.716851;2
