Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10000,10000,20);3803;0.177479;3803;0.093752;1
(10000,10000,20);3803;0.173028;3803;0.095250;2
(10000,10000,20);3803;0.174047;3803;0.095966;3
(10000,10000,20);3803;0.175508;3803;0.100352;4
(10000,10000,20);3803;0.175140;3803;0.097525;5
(10000,10000,20);3803;0.176660;3803;0.095811;6
(10000,10000,20);3803;0.174062;3803;0.099200;7
(10000,10000,20);3803;0.173912;3803;0.097329;8
(10000,10000,20);3803;0.179274;3803;0.122044;9
(10000,10000,20);3803;0.177386;3803;0.095933;10
(10000,10000,20);3803;0.176695;3803;0.097328;11
(10000,10000,20);3803;0.173157;3803;0.097784;12
(10000,10000,20);3803;0.173736;3803;0.098309;13
(10000,10000,20);3803;0.173056;3803;0.098128;14
(10000,10000,20);3803;0.172997;3803;0.096401;15
(10000,10000,20);3803;0.173791;3803;0.096851;16
(10000,10000,20);3803;0.172859;3803;0.096302;17
(10000,10000,20);3803;0.173432;3803;0.094697;18
(10000,10000,20);3803;0.172726;3803;0.096312;19
(10000,10000,20);3803;0.173105;3803;0.096804;20
(10000,10000,20);3803;0.175865;3803;0.103798;21
(10000,10000,20);3803;0.172456;3803;0.099660;22
(10000,10000,20);3803;0.173271;3803;0.094039;23
(10000,10000,20);3803;0.173412;3803;0.095523;24
(10000,10000,20);3803;0.175884;3803;0.100626;25
(10000,10000,20);3803;0.173138;3803;0.098729;26
(10000,10000,20);3803;0.173082;3803;0.094022;27
(10000,10000,20);3803;0.173205;3803;0.100246;28
(10000,10000,20);3803;0.173088;3803;0.096755;29
(10000,10000,20);3803;0.173194;3803;0.093626;30
(20000,20000,20);7619;0.699264;7619;0.355185;1
(20000,20000,20);7619;0.700713;7619;0.352631;2
(20000,20000,20);7619;0.709908;7619;0.358603;3
(20000,20000,20);7619;0.699680;7619;0.342841;4
(20000,20000,20);7619;0.708110;7619;0.358447;5
(20000,20000,20);7619;0.697985;7619;0.344175;6
(20000,20000,20);7619;0.699245;7619;0.348802;7
(20000,20000,20);7619;0.700249;7619;0.352952;8
(20000,20000,20);7619;0.704193;7619;0.356254;9
(20000,20000,20);7619;0.701955;7619;0.358911;10
(20000,20000,20);7619;0.713886;7619;0.360530;11
(20000,20000,20);7619;0.706393;7619;0.358222;12
(20000,20000,20);7619;0.714737;7619;0.344586;13
(20000,20000,20);7619;0.708705;7619;0.351280;14
(20000,20000,20);7619;0.718927;7619;0.354698;15
(20000,20000,20);7619;0.718300;7619;0.355461;16
(20000,20000,20);7619;0.710314;7619;0.356592;17
(20000,20000,20);7619;0.707076;7619;0.350399;18
(20000,20000,20);7619;0.704199;7619;0.355450;19
(20000,20000,20);7619;0.711547;7619;0.356506;20
(20000,20000,20);7619;0.712482;7619;0.356014;21
(20000,20000,20);7619;0.705148;7619;0.357652;22
(20000,20000,20);7619;0.714112;7619;0.357758;23
(20000,20000,20);7619;0.702346;7619;0.359710;24
(20000,20000,20);7619;0.703494;7619;0.355895;25
(20000,20000,20);7619;0.716188;7619;0.357703;26
(20000,20000,20);7619;0.703072;7619;0.347167;27
(20000,20000,20);7619;0.702773;7619;0.351934;28
(20000,20000,20);7619;0.702903;7619;0.361918;29
(20000,20000,20);7619;0.702523;7619;0.342705;30
(30000,30000,20);11426;1.581067;11426;0.770749;1
(30000,30000,20);11426;1.579726;11426;0.780536;2
(30000,30000,20);11426;1.578564;11426;0.765871;3
(30000,30000,20);11426;1.579013;11426;0.791817;4
(30000,30000,20);11426;1.581639;11426;0.747379;5
(30000,30000,20);11426;1.600011;11426;0.789122;6
(30000,30000,20);11426;1.577237;11426;0.748226;7
(30000,30000,20);11426;1.581350;11426;0.791536;8
(30000,30000,20);11426;1.603182;11426;0.785184;9
(30000,30000,20);11426;1.582441;11426;0.781360;10
(30000,30000,20);11426;1.601083;11426;0.779637;11
(30000,30000,20);11426;1.620141;11426;0.781730;12
(30000,30000,20);11426;1.618511;11426;0.774634;13
(30000,30000,20);11426;1.615764;11426;0.780811;14
(30000,30000,20);11426;1.592917;11426;0.773636;15
(30000,30000,20);11426;1.593485;11426;0.781448;16
(30000,30000,20);11426;1.593571;11426;0.776990;17
(30000,30000,20);11426;1.595900;11426;0.753737;18
(30000,30000,20);11426;1.610741;11426;0.779504;19
(30000,30000,20);11426;1.605386;11426;0.806894;20
(30000,30000,20);11426;1.582083;11426;0.748424;21
(30000,30000,20);11426;1.585189;11426;0.761509;22
(30000,30000,20);11426;1.582315;11426;0.783066;23
(30000,30000,20);11426;1.593994;11426;0.783620;24
(30000,30000,20);11426;1.583097;11426;0.771637;25
(30000,30000,20);11426;1.584805;11426;0.750341;26
(30000,30000,20);11426;1.586230;11426;0.778945;27
(30000,30000,20);11426;1.592009;11426;0.764209;28
(30000,30000,20);11426;1.611572;11426;0.771360;29
(30000,30000,20);11426;1.588186;11426;0.749036;30
