Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(20000,20000,20);7619;0.703734;7619;0.210630;1
(20000,20000,20);7619;0.697326;7619;0.213346;2
(20000,20000,20);7619;0.709304;7619;0.243044;3
(20000,20000,20);7619;0.697142;7619;0.210850;4
(20000,20000,20);7619;0.697941;7619;0.231576;5
(20000,20000,20);7619;0.705570;7619;0.215255;6
(20000,20000,20);7619;0.699402;7619;0.210920;7
(20000,20000,20);7619;0.706649;7619;0.208604;8
(20000,20000,20);7619;0.698063;7619;0.209037;9
(20000,20000,20);7619;0.706199;7619;0.220499;10
(20000,20000,20);7619;0.697214;7619;0.212387;11
(20000,20000,20);7619;0.704874;7619;0.213176;12
(20000,20000,20);7619;0.697728;7619;0.212872;13
(20000,20000,20);7619;0.710803;7619;0.446948;14
(20000,20000,20);7619;0.710783;7619;0.207132;15
(20000,20000,20);7619;0.700188;7619;0.205546;16
(20000,20000,20);7619;0.700309;7619;0.205992;17
(20000,20000,20);7619;0.697321;7619;0.203826;18
(20000,20000,20);7619;0.705157;7619;0.207220;19
(20000,20000,20);7619;0.698005;7619;0.204815;20
(20000,20000,20);7619;0.706777;7619;0.206637;21
(20000,20000,20);7619;0.699461;7619;0.204421;22
(20000,20000,20);7619;0.706497;7619;0.207253;23
(20000,20000,20);7619;0.698301;7619;0.204534;24
(20000,20000,20);7619;0.705605;7619;0.201337;25
(20000,20000,20);7619;0.698741;7619;0.204809;26
(20000,20000,20);7619;0.706730;7619;0.203549;27
(20000,20000,20);7619;0.698037;7619;0.204852;28
(20000,20000,20);7619;0.700278;7619;0.251005;29
(20000,20000,20);7619;0.706807;7619;0.207108;30
(10000,10000,20);3803;0.177062;3803;0.071620;1
(10000,10000,20);3803;0.173877;3803;0.096434;2
(10000,10000,20);3803;0.178409;3803;0.120078;3
(10000,10000,20);3803;0.176948;3803;0.073792;4
(10000,10000,20);3803;0.174849;3803;0.079591;5
(10000,10000,20);3803;0.176065;3803;0.065900;6
(10000,10000,20);3803;0.175778;3803;0.080912;7
(10000,10000,20);3803;0.177453;3803;0.075526;8
(10000,10000,20);3803;0.179129;3803;0.071025;9
(10000,10000,20);3803;0.176596;3803;0.066454;10
(10000,10000,20);3803;0.174572;3803;0.069695;11
(10000,10000,20);3803;0.175752;3803;0.087555;12
(10000,10000,20);3803;0.177374;3803;0.107191;13
(10000,10000,20);3803;0.176777;3803;0.075837;14
(10000,10000,20);3803;0.177197;3803;0.099373;15
(10000,10000,20);3803;0.178025;3803;0.070927;16
(10000,10000,20);3803;0.176953;3803;0.161089;17
(10000,10000,20);3803;0.184045;3803;0.121556;18
(10000,10000,20);3803;0.178939;3803;0.072757;19
(10000,10000,20);3803;0.176242;3803;0.057142;20
(10000,10000,20);3803;0.177406;3803;0.070603;21
(10000,10000,20);3803;0.174755;3803;0.059963;22
(10000,10000,20);3803;0.177718;3803;0.060301;23
(10000,10000,20);3803;0.175028;3803;0.058047;24
(10000,10000,20);3803;0.175329;3803;0.059368;25
(10000,10000,20);3803;0.175234;3803;0.057621;26
(10000,10000,20);3803;0.175825;3803;0.056753;27
(10000,10000,20);3803;0.177118;3803;0.057318;28
(10000,10000,20);3803;0.176480;3803;0.055901;29
(10000,10000,20);3803;0.175982;3803;0.057899;30
(30000,30000,20);11426;1.585004;11426;0.574998;1
(30000,30000,20);11426;1.594688;11426;0.591294;2
(30000,30000,20);11426;1.599863;11426;0.647405;3
(30000,30000,20);11426;1.599319;11426;0.600491;4
(30000,30000,20);11426;1.595173;11426;0.913830;5
(30000,30000,20);11426;1.596455;11426;0.923108;6
(30000,30000,20);11426;1.586850;11426;0.446424;7
(30000,30000,20);11426;1.584349;11426;0.468031;8
(30000,30000,20);11426;1.582704;11426;0.475451;9
(30000,30000,20);11426;1.582274;11426;0.450444;10
(30000,30000,20);11426;1.582100;11426;0.447455;11
(30000,30000,20);11426;1.598670;11426;0.442612;12
(30000,30000,20);11426;1.594382;11426;0.483318;13
(30000,30000,20);11426;1.600558;11426;0.638586;14
(30000,30000,20);11426;1.588991;11426;0.650769;15
(30000,30000,20);11426;1.607282;11426;0.486803;16
(30000,30000,20);11426;1.604927;11426;0.459727;17
(30000,30000,20);11426;1.593198;11426;0.462861;18
(30000,30000,20);11426;1.612840;11426;0.567774;19
(30000,30000,20);11426;1.596756;11426;0.478964;20
(30000,30000,20);11426;1.607992;11426;0.655060;21
(30000,30000,20);11426;1.593823;11426;1.278884;22
(30000,30000,20);11426;1.597813;11426;0.732897;23
(30000,30000,20);11426;1.620537;11426;0.705686;24
(30000,30000,20);11426;1.607332;11426;0.533503;25
(30000,30000,20);11426;1.590468;11426;0.450165;26
(30000,30000,20);11426;1.590719;11426;0.452812;27
(30000,30000,20);11426;1.591131;11426;0.453106;28
(30000,30000,20);11426;1.594398;11426;0.510094;29
(30000,30000,20);11426;1.587519;11426;0.549534;30
