Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000001;5;0.000339;1
(10,7,6);5;0.000000;5;0.032037;2
(10,7,6);5;0.000000;5;0.023072;3
(10,7,6);5;0.000000;5;0.000086;4
(10,7,6);5;0.000000;5;0.000053;5
(10,7,6);5;0.000000;5;0.000053;6
(10,7,6);5;0.000000;5;0.000053;7
(10,7,6);5;0.000000;5;0.000053;8
(10,7,6);5;0.000000;5;0.000075;9
(10,7,6);5;0.000000;5;0.000250;10
(10,7,6);5;0.000000;5;0.000081;11
(10,7,6);5;0.000000;5;0.000054;12
(10,7,6);5;0.000000;5;0.000053;13
(10,7,6);5;0.000000;5;0.000052;14
(10,7,6);5;0.000000;5;0.011389;15
(10,7,6);5;0.000000;5;0.000073;16
(10,7,6);5;0.000000;5;0.000070;17
(10,7,6);5;0.000000;5;0.000060;18
(10,7,6);5;0.000000;5;0.000056;19
(10,7,6);5;0.000000;5;0.000051;20
(846,756,20);302;0.002974;302;0.003782;1
(846,756,20);302;0.002947;302;0.003458;2
(846,756,20);302;0.002973;302;0.003608;3
(846,756,20);302;0.002950;302;0.003331;4
(846,756,20);302;0.002960;302;0.003584;5
(846,756,20);302;0.002959;302;0.003487;6
(846,756,20);302;0.002980;302;0.002747;7
(846,756,20);302;0.002084;302;0.001902;8
(846,756,20);302;0.001769;302;0.002037;9
(846,756,20);302;0.001713;302;0.001536;10
(846,756,20);302;0.001478;302;0.001732;11
(846,756,20);302;0.001479;302;0.001612;12
(846,756,20);302;0.001479;302;0.001706;13
(846,756,20);302;0.001484;302;0.002053;14
(846,756,20);302;0.001474;302;0.001527;15
(846,756,20);302;0.001480;302;0.002454;16
(846,756,20);302;0.001484;302;0.001724;17
(846,756,20);302;0.001478;302;0.001540;18
(846,756,20);302;0.001477;302;0.001881;19
(846,756,20);302;0.001491;302;0.001732;20
(29610,26460,20);10706;1.367252;10706;0.270327;1
(29610,26460,20);10706;1.381485;10706;0.355199;2
(29610,26460,20);10706;1.392538;10706;0.308641;3
(29610,26460,20);10706;1.371378;10706;0.253417;4
(29610,26460,20);10706;1.359180;10706;0.259600;5
(29610,26460,20);10706;1.358971;10706;0.258289;6
(29610,26460,20);10706;1.363023;10706;0.260532;7
(29610,26460,20);10706;1.362682;10706;0.252735;8
(29610,26460,20);10706;1.358043;10706;0.254653;9
(29610,26460,20);10706;1.361761;10706;0.255982;10
(29610,26460,20);10706;1.359453;10706;0.256633;11
(29610,26460,20);10706;1.356997;10706;0.282838;12
(29610,26460,20);10706;1.358660;10706;0.256626;13
(29610,26460,20);10706;1.358534;10706;0.255404;14
(29610,26460,20);10706;1.356138;10706;0.308088;15
(29610,26460,20);10706;1.361227;10706;0.250314;16
(29610,26460,20);10706;1.364391;10706;0.304478;17
(29610,26460,20);10706;1.380837;10706;0.381851;18
(29610,26460,20);10706;1.380465;10706;0.277363;19
(29610,26460,20);10706;1.383899;10706;0.273493;20
