Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000004;5;0.000007;1
(10,7,6);5;0.000004;5;0.000007;2
(10,7,6);5;0.000004;5;0.000006;3
(10,7,6);5;0.000004;5;0.000007;4
(10,7,6);5;0.000004;5;0.000007;5
(10,7,6);5;0.000004;5;0.000006;6
(10,7,6);5;0.000004;5;0.000007;7
(10,7,6);5;0.000004;5;0.000007;8
(10,7,6);5;0.000004;5;0.000007;9
(10,7,6);5;0.000003;5;0.000004;10
(10,7,6);5;0.000002;5;0.000004;11
(10,7,6);5;0.000002;5;0.000003;12
(10,7,6);5;0.000002;5;0.000003;13
(10,7,6);5;0.000002;5;0.000003;14
(10,7,6);5;0.000002;5;0.000003;15
(10,7,6);5;0.000002;5;0.000002;16
(10,7,6);5;0.000001;5;0.000003;17
(10,7,6);5;0.000002;5;0.000003;18
(10,7,6);5;0.000002;5;0.000003;19
(10,7,6);5;0.000002;5;0.000002;20
(846,756,20);302;0.004481;302;0.004744;1
(846,756,20);302;0.003299;302;0.003780;2
(846,756,20);302;0.003018;302;0.003781;3
(846,756,20);302;0.002999;302;0.003785;4
(846,756,20);302;0.003013;302;0.003793;5
(846,756,20);302;0.003103;302;0.003788;6
(846,756,20);302;0.003016;302;0.003834;7
(846,756,20);302;0.003128;302;0.003905;8
(846,756,20);302;0.003006;302;0.003791;9
(846,756,20);302;0.003061;302;0.003784;10
(846,756,20);302;0.003062;302;0.003825;11
(846,756,20);302;0.003025;302;0.003775;12
(846,756,20);302;0.003000;302;0.003932;13
(846,756,20);302;0.003013;302;0.003791;14
(846,756,20);302;0.003020;302;0.003805;15
(846,756,20);302;0.003051;302;0.003794;16
(846,756,20);302;0.003009;302;0.003862;17
(846,756,20);302;0.003007;302;0.003846;18
(846,756,20);302;0.003017;302;0.003796;19
(846,756,20);302;0.003136;302;0.003780;20
(29610,26460,20);10706;3.999016;10706;4.523141;1
(29610,26460,20);10706;3.981808;10706;4.627635;2
(29610,26460,20);10706;4.005905;10706;4.546952;3
(29610,26460,20);10706;4.002413;10706;4.589121;4
(29610,26460,20);10706;3.985022;10706;4.495893;5
(29610,26460,20);10706;3.995574;10706;4.567812;6
(29610,26460,20);10706;3.989252;10706;4.509175;7
(29610,26460,20);10706;3.971662;10706;4.512260;8
(29610,26460,20);10706;4.007871;10706;4.491791;9
(29610,26460,20);10706;3.982212;10706;4.519692;10
(29610,26460,20);10706;4.018435;10706;4.519258;11
(29610,26460,20);10706;4.023205;10706;4.648774;12
(29610,26460,20);10706;4.020582;10706;4.733075;13
(29610,26460,20);10706;3.985963;10706;4.504431;14
(29610,26460,20);10706;3.999595;10706;4.513931;15
(29610,26460,20);10706;3.981430;10706;4.519708;16
(29610,26460,20);10706;3.995997;10706;4.502724;17
(29610,26460,20);10706;4.018189;10706;4.578894;18
(29610,26460,20);10706;3.997394;10706;4.526403;19
(29610,26460,20);10706;4.025339;10706;4.507216;20
