Size (fileB,fileA,uniqAB);Serial Score;Serial LCS Time;Parallel Score;Parallel LCS Time;Execution
(10,7,6);5;0.000004;5;0.000006;1
(10,7,6);5;0.000004;5;0.000007;2
(10,7,6);5;0.000004;5;0.000006;3
(10,7,6);5;0.000004;5;0.000006;4
(10,7,6);5;0.000004;5;0.000006;5
(10,7,6);5;0.000004;5;0.000006;6
(10,7,6);5;0.000003;5;0.000004;7
(10,7,6);5;0.000002;5;0.000004;8
(10,7,6);5;0.000002;5;0.000003;9
(10,7,6);5;0.000002;5;0.000003;10
(10,7,6);5;0.000002;5;0.000003;11
(10,7,6);5;0.000001;5;0.000003;12
(10,7,6);5;0.000002;5;0.000002;13
(10,7,6);5;0.000002;5;0.000002;14
(10,7,6);5;0.000002;5;0.000003;15
(10,7,6);5;0.000001;5;0.000002;16
(10,7,6);5;0.000001;5;0.000002;17
(10,7,6);5;0.000001;5;0.000002;18
(10,7,6);5;0.000001;5;0.000002;19
(10,7,6);5;0.000001;5;0.000002;20
(846,756,20);302;0.004180;302;0.004473;1
(846,756,20);302;0.003194;302;0.003855;2
(846,756,20);302;0.003004;302;0.003783;3
(846,756,20);302;0.003025;302;0.003832;4
(846,756,20);302;0.003053;302;0.003785;5
(846,756,20);302;0.003001;302;0.003779;6
(846,756,20);302;0.003045;302;0.003807;7
(846,756,20);302;0.003047;302;0.003778;8
(846,756,20);302;0.003004;302;0.003799;9
(846,756,20);302;0.003235;302;0.003909;10
(846,756,20);302;0.003014;302;0.003823;11
(846,756,20);302;0.003007;302;0.003936;12
(846,756,20);302;0.003023;302;0.003778;13
(846,756,20);302;0.003011;302;0.003793;14
(846,756,20);302;0.002998;302;0.003782;15
(846,756,20);302;0.003022;302;0.003781;16
(846,756,20);302;0.003009;302;0.003792;17
(846,756,20);302;0.003007;302;0.003792;18
(846,756,20);302;0.003109;302;0.003805;19
(846,756,20);302;0.003067;302;0.003825;20
(29610,26460,20);10706;3.977308;10706;4.493175;1
(29610,26460,20);10706;3.979081;10706;4.527082;2
(29610,26460,20);10706;3.971442;10706;4.501414;3
(29610,26460,20);10706;3.965623;10706;4.478613;4
(29610,26460,20);10706;3.974962;10706;4.596459;5
(29610,26460,20);10706;4.006979;10706;4.523486;6
(29610,26460,20);10706;3.996877;10706;4.514657;7
(29610,26460,20);10706;4.004076;10706;4.631560;8
(29610,26460,20);10706;4.014967;10706;4.559074;9
(29610,26460,20);10706;3.985570;10706;4.504477;10
(29610,26460,20);10706;3.985535;10706;4.603725;11
(29610,26460,20);10706;4.027144;10706;4.575462;12
(29610,26460,20);10706;3.996207;10706;4.571969;13
(29610,26460,20);10706;3.994163;10706;4.516074;14
(29610,26460,20);10706;3.998257;10706;4.576655;15
(29610,26460,20);10706;4.025192;10706;4.575068;16
(29610,26460,20);10706;3.981057;10706;4.518202;17
(29610,26460,20);10706;4.017106;10706;4.610535;18
(29610,26460,20);10706;4.004599;10706;4.555081;19
(29610,26460,20);10706;3.974031;10706;4.543627;20
